id,easting,northing,elevation,site,year,percAlong,distAlong
322,317930.8986,4097839.51,2164.88673,AHA,2021,0.090576653,84.52613541
323,317931.0991,4097839.755,2164.895108,AHA,2021,0.090857947,84.78863893
324,317931.3441,4097840.055,2164.874727,AHA,2021,0.091139241,85.05114246
325,317931.3441,4097840.055,2164.874727,AHA,2021,0.091420534,85.31364599
326,317931.646,4097840.328,2164.893553,AHA,2021,0.091701828,85.57614951
327,317931.8844,4097840.503,2164.874035,AHA,2021,0.091983122,85.83865304
328,317931.8844,4097840.503,2164.874035,AHA,2021,0.092264416,86.10115656
329,317932.086,4097840.734,2164.8933,AHA,2021,0.09254571,86.36366009
330,317932.3204,4097841.071,2164.893693,AHA,2021,0.092827004,86.62616362
331,317932.5376,4097841.377,2164.90791,AHA,2021,0.093108298,86.88866714
332,317932.5376,4097841.377,2164.90791,AHA,2021,0.093389592,87.15117067
333,317932.7676,4097841.626,2164.868835,AHA,2021,0.093670886,87.41367419
334,317933.0168,4097841.896,2164.838933,AHA,2021,0.09395218,87.67617772
335,317933.2468,4097842.145,2164.816057,AHA,2021,0.094233474,87.93868125
336,317933.2468,4097842.145,2164.816057,AHA,2021,0.094514768,88.20118477
337,317933.4778,4097842.331,2164.808037,AHA,2021,0.094796062,88.4636883
338,317933.8508,4097842.549,2164.800512,AHA,2021,0.095077356,88.72619182
339,317934.1772,4097842.739,2164.821717,AHA,2021,0.09535865,88.98869535
340,317934.1772,4097842.739,2164.821717,AHA,2021,0.095639944,89.25119888
341,317934.2878,4097843.071,2164.849105,AHA,2021,0.095921238,89.5137024
342,317934.2878,4097843.071,2164.849105,AHA,2021,0.096202532,89.77620593
343,317934.4918,4097843.44,2164.900015,AHA,2021,0.096483826,90.03870946
344,317934.6792,4097843.682,2164.920908,AHA,2021,0.09676512,90.30121298
345,317934.9213,4097843.995,2164.935116,AHA,2021,0.097046414,90.56371651
346,317935.1086,4097844.237,2164.929361,AHA,2021,0.097327707,90.82622003
347,317935.291,4097844.577,2164.89964,AHA,2021,0.097609001,91.08872356
348,317935.291,4097844.577,2164.89964,AHA,2021,0.097890295,91.35122709
349,317935.4786,4097844.992,2164.917197,AHA,2021,0.098171589,91.61373061
350,317935.5633,4097845.179,2164.932081,AHA,2021,0.098452883,91.87623414
351,317935.8737,4097845.503,2164.910811,AHA,2021,0.098734177,92.13873766
352,317935.8737,4097845.503,2164.910811,AHA,2021,0.099015471,92.40124119
353,317936.2737,4097845.703,2164.937311,AHA,2021,0.099296765,92.66374472
354,317936.4737,4097845.803,2164.956793,AHA,2021,0.099578059,92.92624824
